"Level";"MgId";"MgName";"MgParentId";"MgParentName";"subscriptionId";"subscriptionName";"PolicyAssignmentId";"PolicyAssignmentScopeName";"PolicyAssignmentDisplayName";"PolicyAssignmentDescription";"PolicyAssignmentEnforcementMode";"PolicyAssignmentNonComplianceMessages";"PolicyAssignmentNotScopes";"PolicyAssignmentParameters";"AssignedBy";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"Effect";"PolicyNameClear";"PolicyDescription";"PolicyId";"PolicyVariant";"PolicyType";"PolicyCategory";"Inheritance";"ExcludedScope";"RelatedRoleAssignmentsClear";"mgOrSubOrRG";"NonCompliantPolicies";"CompliantPolicies";"NonCompliantResources";"CompliantResources";"ConflictingResources";"ExemptionScope"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-asc-monitoring";"ESJH";"ASC-Monitoring";"ASC-Monitoring";"Default";"";"n/a";"";"n/a";"2021-01-10 21:00:45";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"n/a";"Azure Security Benchmark";"The Azure Security Benchmark initiative represents the policies and controls implementing security recommendations defined in Azure Security Benchmark v2, see https://aka.ms/azsecbm. This also serves as the Azure Security Center default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Azure Security Center.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"Security Center";"thisScope Mg";"false";"none";"Mg";"22";"16";"12";"0";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-asc-security";"ESJH";"Deploy-ASC-Defender";"Deploy-ASC-Defender";"Default";"";"n/a";"pricingTierAppServices=Standard, pricingTierArm=Standard, pricingTierContainerRegistry=Standard, pricingTierDns=Standard, pricingTierKeyVaults=Standard, pricingTierKubernetesService=Standard, pricingTierSqlServers=Standard, pricingTierStorageAccounts=Standard, pricingTierVms=Standard";"n/a";"2021-01-10 21:00:47";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"DeployIfNotExists";"Deploy Azure Defender settings in Azure Security Center.";"Deploys  the Azure Defender settings in Azure Security Center for  the specific services.";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deploy-asc-standard";"Policy";"Custom";"Security Center";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/538e5329-7b5d-511f-8c05-9c7c32dab0bf)";"Mg";"0";"1";"0";"2";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-azactivity-log";"ESJH";"Deploy-AzActivity-Log";"Deploy-AzActivity-Log";"Default";"";"n/a";"logAnalytics=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466, logsEnabled=True";"n/a";"2021-01-10 21:00:47";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"DeployIfNotExists";"Deploy Diagnostic Settings for Activity Log to Log Analytics workspace";"Deploys the diagnostic settings for Activity Log to stream to a Log Analytics workspace when any Activity Log which is missing this diagnostic settings is created or updated. The policy wil  set the diagnostic with category enabled.";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deploy-diagnostics-activitylog";"Policy";"Custom";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/e5ac6b58-4f31-5956-9082-78d97ba2453e)";"Mg";"0";"1";"0";"2";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-lx-arc-monitoring";"ESJH";"Deploy-Linux-Arc-Monitoring";"Deploy-Linux-Arc-Monitoring";"Default";"";"n/a";"logAnalytics=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466";"n/a";"2021-01-10 21:00:44";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"DeployIfNotExists";"Configure Log Analytics agent on Azure Arc enabled Linux servers";"Enable VM insights on servers and machines connected to Azure through Arc enabled servers by installing the Log Analytics agent virtual machine extension. VM insights uses the Log Analytics agent to collect the guest OS performance data, and provides insights into their performance. See more - https://aka.ms/vminsightsdocs.";"/providers/microsoft.authorization/policydefinitions/9d2b61b4-1d14-4a63-be30-d4498e7ad2cf";"Policy";"BuiltIn";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/ddc0ff3c-a3d0-5d5b-ba19-116b6572acbf)";"Mg";"0";"0";"0";"0";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-resource-diag";"ESJH";"Deploy-Resource-Diag";"Deploy-Resource-Diag";"Default";"";"n/a";"logAnalytics=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466";"n/a";"2021-01-10 21:00:44";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"n/a";"Deploy Diagnostic Settings to Azure Services";"This policy set deploys the configurations of application Azure resources to forward diagnostic logs and metrics to an Azure Log Analytics workspace. See the list of policies of the services that are included ";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deploy-diag-loganalytics";"PolicySet";"Custom";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/45afca7b-a696-5947-a47f-960081dd1dbc)";"Mg";"0";"4";"0";"7";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-vm-monitoring";"ESJH";"Deploy-VM-Monitoring";"Deploy-VM-Monitoring v2";"Default";"";"n/a";"logAnalytics_1=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466";"n/a";"2021-01-10 21:00:44";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"2021-07-09 16:04:52";"ObjectType: SP App INT , ObjectDisplayName: AzOps, ObjectSignInName: n/a, ObjectId: c295384a-33d9-475e-abaf-d2fb0274299a";"n/a";"Enable Azure Monitor for VMs";"Enable Azure Monitor for the virtual machines (VMs) in the specified scope (management group, subscription or resource group). Takes Log Analytics workspace as parameter.";"/providers/microsoft.authorization/policysetdefinitions/55f3eceb-5573-4f18-9695-226972c6d74a";"PolicySet";"BuiltIn";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/5d92332d-fe07-5cef-9c6b-33e5025d6374)";"Mg";"0";"0";"0";"0";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-vmss-monitoring";"ESJH";"Deploy-VMSS-Monitoring";"Deploy-VMSS-Monitoring";"Default";"";"n/a";"logAnalytics_1=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466";"n/a";"2021-01-10 21:00:47";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"n/a";"Enable Azure Monitor for Virtual Machine Scale Sets";"Enable Azure Monitor for the Virtual Machine Scale Sets in the specified scope (Management group, Subscription or resource group). Takes Log Analytics workspace as parameter. Note: if your scale set upgradePolicy is set to Manual, you need to apply the extension to the all VMs in the set by calling upgrade on them. In CLI this would be az vmss update-instances.";"/providers/microsoft.authorization/policysetdefinitions/75714362-cae7-409e-9b99-a8e5075b7fad";"PolicySet";"BuiltIn";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/2d361fa3-7bd4-5234-9b12-1f54afa65870)";"Mg";"0";"0";"0";"0";"0";"false"
"1";"ESJH";"ESJH";"896470ca-9c6e-4176-9b38-5a655403c638";"Tenant Root Group";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-ws-arc-monitoring";"ESJH";"Deploy-Windows-Arc-Monitoring";"Deploy-Windows-Arc-Monitoring";"Default";"";"n/a";"logAnalytics=/subscriptions/f28ba982-5ed0-4033-9bdf-e45e4b5df466/resourcegroups/esjh-mgmt/providers/microsoft.operationalinsights/workspaces/esjh-la-f28ba982-5ed0-4033-9bdf-e45e4b5df466";"n/a";"2021-01-10 21:00:47";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"DeployIfNotExists";"Configure Log Analytics agent on Azure Arc enabled Windows servers";"Enable VM insights on servers and machines connected to Azure through Arc enabled servers by installing the Log Analytics agent virtual machine extension. VM insights uses the Log Analytics agent to collect the guest OS performance data, and provides insights into their performance. See more - https://aka.ms/vminsightsdocs.";"/providers/microsoft.authorization/policydefinitions/69af7d4a-7b18-4044-93a9-2651498ef203";"Policy";"BuiltIn";"Monitoring";"thisScope Mg";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/38abf737-131b-52a2-90da-78943675bfed)";"Mg";"0";"0";"0";"0";"0";"false"
"2";"ESJH-decommissioned";"ESJH-decommissioned";"ESJH";"ESJH";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-asc-monitoring";"ESJH";"ASC-Monitoring";"ASC-Monitoring";"Default";"";"n/a";"";"n/a";"2021-01-10 21:00:45";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"n/a";"Azure Security Benchmark";"The Azure Security Benchmark initiative represents the policies and controls implementing security recommendations defined in Azure Security Benchmark v2, see https://aka.ms/azsecbm. This also serves as the Azure Security Center default policy initiative. You can directly assign this initiative, or manage its policies and compliance results within Azure Security Center.";"/providers/microsoft.authorization/policysetdefinitions/1f3afdf9-d0c9-4c3d-847f-89da613e70a8";"PolicySet";"BuiltIn";"Security Center";"inherited ESJH";"false";"none";"Mg";"0";"0";"0";"0";"0";"false"
"2";"ESJH-decommissioned";"ESJH-decommissioned";"ESJH";"ESJH";"";"";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policyassignments/deploy-asc-security";"ESJH";"Deploy-ASC-Defender";"Deploy-ASC-Defender";"Default";"";"n/a";"pricingTierAppServices=Standard, pricingTierArm=Standard, pricingTierContainerRegistry=Standard, pricingTierDns=Standard, pricingTierKeyVaults=Standard, pricingTierKubernetesService=Standard, pricingTierSqlServers=Standard, pricingTierStorageAccounts=Standard, pricingTierVms=Standard";"n/a";"2021-01-10 21:00:47";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"DeployIfNotExists";"Deploy Azure Defender settings in Azure Security Center.";"Deploys  the Azure Defender settings in Azure Security Center for  the specific services.";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deploy-asc-standard";"Policy";"Custom";"Security Center";"inherited ESJH";"false";"Owner (/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/roleAssignments/538e5329-7b5d-511f-8c05-9c7c32dab0bf)";"Mg";"0";"0";"0";"0";"0";"false"
