"Scope";"ScopeId";"PolicyDisplayName";"PolicyDefinitionId";"PolicyEffect";"PolicyCategory";"RoleDefinitionsClear";"UniqueAssignments";"UsedInPolicySetsClean";"CreatedOn";"CreatedBy";"UpdatedOn";"UpdatedBy";"Json"
"Mg";"ESJH";"KeyVault SoftDelete should be enabled";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/append-kv-softdelete";"Fixed: append";"Key Vault";"n/a";"0";"0";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""KeyVault SoftDelete should be enabled"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy enables you to ensure when a Key Vault is created with out soft delete enabled it will be added."",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Key Vault"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.492565Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {},
    ""policyRule"": {
      ""if"": {
        ""anyOf"": [
          {
            ""allOf"": [
              {
                ""field"": ""type"",
                ""equals"": ""Microsoft.KeyVault/vaults""
              },
              {
                ""field"": ""Microsoft.KeyVault/vaults/enableSoftDelete"",
                ""notEquals"": false
              }
            ]
          }
        ]
      },
      ""then"": {
        ""effect"": ""append"",
        ""details"": [
          {
            ""field"": ""Microsoft.KeyVault/vaults/enableSoftDelete"",
            ""value"": true
          }
        ]
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Append-KV-SoftDelete"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Append-KV-SoftDelete""
}"
"Mg";"ESJH";"No child resources in Automation Account";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-aa-child-resources";"Default: Deny; Allowed: Audit,Deny,Disabled";"Automation";"n/a";"0";"0";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""No child resources in Automation Account"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies the creation of child resources on the Automation Account"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Automation"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.3290136Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""in"": [
              ""Microsoft.Automation/automationAccounts/runbooks"",
              ""Microsoft.Automation/automationAccounts/variables"",
              ""Microsoft.Automation/automationAccounts/modules"",
              ""Microsoft.Automation/automationAccounts/credentials"",
              ""Microsoft.Automation/automationAccounts/connections"",
              ""Microsoft.Automation/automationAccount/certificates""
            ]
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-AA-child-resources"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-AA-child-resources""
}"
"Mg";"ESJH";"Application Gateway should be deployed with WAF enabled";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-appgw-without-waf";"Default: Deny; Allowed: Audit,Deny,Disabled";"Network";"n/a";"0";"0";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Application Gateway should be deployed with WAF enabled"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy enables you to restrict that Application Gateways is always deployed with WAF enabled"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Network"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.3346641Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.Network/applicationGateways""
          },
          {
            ""field"": ""Microsoft.Network/applicationGateways/sku.name"",
            ""notequals"": ""WAF_v2""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-AppGW-Without-WAF"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-AppGW-Without-WAF""
}"
"Mg";"ESJH";"Deny vNet peering ";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-erpeering";"Default: Deny; Allowed: Audit,Deny,Disabled";"Network";"n/a";"0";"0";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Deny vNet peering "",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies the creation of vNet Peerings under the assigned scope."",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Network"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.6692035Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""field"": ""type"",
        ""equals"": ""Microsoft.Network/virtualNetworks/virtualNetworkPeerings""
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-ERPeering"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-ERPeering""
}"
"Mg";"ESJH";"Deny the creation of private DNS";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-private-dns-zones";"Default: Deny; Allowed: Audit,Deny,Disabled";"Network";"n/a";"0";"0";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Deny the creation of private DNS"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies the creation of a private DNS in the current scope, used in combination with policies that create centralized private DNS in connectivity subscription"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Network"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.590183Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""field"": ""type"",
        ""equals"": ""Microsoft.Network/privateDnsZones""
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-Private-DNS-Zones"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-Private-DNS-Zones""
}"
"Mg";"ESJH";"Public network access on AKS API should be disabled";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-aks";"Default: Deny; Allowed: Audit,Deny,Disabled";"Kubernetes";"n/a";"0";"1 (Public network access should be disabled for PAAS services (/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deny-publicendpoints)";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Public network access on AKS API should be disabled"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies  the creation of  Azure Kubernetes Service non-private clusters"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Kubernetes"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.4994662Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.ContainerService/managedClusters""
          },
          {
            ""field"": ""Microsoft.ContainerService/managedClusters/apiServerAccessProfile.enablePrivateCluster"",
            ""notequals"": ""true""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-PublicEndpoint-Aks"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-PublicEndpoint-Aks""
}"
"Mg";"ESJH";"Public network access should be disabled for CosmosDB";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-cosmosdb";"Default: Deny; Allowed: Audit,Deny,Disabled";"SQL";"n/a";"0";"1 (Public network access should be disabled for PAAS services (/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deny-publicendpoints)";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"2021-07-15 15:15:07";"ObjectType: User Member, ObjectDisplayName: Joe Dalton, ObjectSignInName: joe.dalton@AzGovViz.onmicrosoft.com, ObjectId: acf4c68f-7b15-4d70-935b-26116fc2426a";"{
  ""properties"": {
    ""displayName"": ""Public network access should be disabled for CosmosDB"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies that  Cosmos database accounts  are created with out public network access is disabled."",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""SQL"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.8995781Z"",
      ""updatedBy"": ""acf4c68f-7b15-4d70-935b-26116fc2426a"",
      ""updatedOn"": ""2021-07-15T15:15:07.6208973Z""
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of this policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.DocumentDB/databaseAccounts""
          },
          {
            ""field"": ""Microsoft.DocumentDB/databaseAccounts/publicNetworkAccess"",
            ""notequals"": ""Disabled""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-PublicEndpoint-CosmosDB"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-PublicEndpoint-CosmosDB""
}"
"Mg";"ESJH";"Public network access should be disabled for KeyVault";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-keyvault";"Default: Deny; Allowed: Audit,Deny,Disabled";"Key Vault";"n/a";"0";"1 (Public network access should be disabled for PAAS services (/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deny-publicendpoints)";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Public network access should be disabled for KeyVault"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies creation of Key Vaults with IP Firewall exposed to all public endpoints"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""Key Vault"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.4941318Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.KeyVault/vaults""
          },
          {
            ""field"": ""Microsoft.KeyVault/vaults/networkAcls.defaultAction"",
            ""notequals"": ""Deny""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-PublicEndpoint-KeyVault"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-PublicEndpoint-KeyVault""
}"
"Mg";"ESJH";"Public network access should be disabled for MariaDB";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-mariadb";"Default: Deny; Allowed: Audit,Deny,Disabled";"SQL";"n/a";"0";"1 (Public network access should be disabled for PAAS services (/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deny-publicendpoints)";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Public network access should be disabled for MariaDB"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies the creation of Maria DB accounts with exposed public endpoints"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""SQL"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.3939506Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.DBforMariaDB/servers""
          },
          {
            ""field"": ""Microsoft.DBforMariaDB/servers/publicNetworkAccess"",
            ""notequals"": ""Disabled""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-PublicEndpoint-MariaDB"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-PublicEndpoint-MariaDB""
}"
"Mg";"ESJH";"Public network access should be disabled for MySQL";"/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policydefinitions/deny-publicendpoint-mysql";"Default: Deny; Allowed: Audit,Deny,Disabled";"SQL";"n/a";"0";"1 (Public network access should be disabled for PAAS services (/providers/microsoft.management/managementgroups/esjh/providers/microsoft.authorization/policysetdefinitions/deny-publicendpoints)";"2021-01-10 20:57:38";"ObjectType: User Member, ObjectDisplayName: ESDeploymentAccount, ObjectSignInName: ESDeploymentAccount@AzGovViz.onmicrosoft.com, ObjectId: b790b1e1-6f46-488b-8c5a-708b0db9a149";"";"";"{
  ""properties"": {
    ""displayName"": ""Public network access should be disabled for MySQL"",
    ""policyType"": ""Custom"",
    ""mode"": ""All"",
    ""description"": ""This policy denies creation of MySql DB accounts with exposed public endpoints"",
    ""metadata"": {
      ""version"": ""1.0.0"",
      ""category"": ""SQL"",
      ""createdBy"": ""b790b1e1-6f46-488b-8c5a-708b0db9a149"",
      ""createdOn"": ""2021-01-10T20:57:38.5154942Z"",
      ""updatedBy"": null,
      ""updatedOn"": null
    },
    ""parameters"": {
      ""effect"": {
        ""type"": ""String"",
        ""metadata"": {
          ""displayName"": ""Effect"",
          ""description"": ""Enable or disable the execution of the policy""
        },
        ""allowedValues"": [
          ""Audit"",
          ""Deny"",
          ""Disabled""
        ],
        ""defaultValue"": ""Deny""
      }
    },
    ""policyRule"": {
      ""if"": {
        ""allOf"": [
          {
            ""field"": ""type"",
            ""equals"": ""Microsoft.DBforMySQL/servers""
          },
          {
            ""field"": ""Microsoft.DBforMySQL/servers/publicNetworkAccess"",
            ""notequals"": ""Disabled""
          }
        ]
      },
      ""then"": {
        ""effect"": ""[parameters('effect')]""
      }
    }
  },
  ""id"": ""/providers/Microsoft.Management/managementGroups/ESJH/providers/Microsoft.Authorization/policyDefinitions/Deny-PublicEndpoint-MySQL"",
  ""type"": ""Microsoft.Authorization/policyDefinitions"",
  ""name"": ""Deny-PublicEndpoint-MySQL""
}"
